"ABCIndicator","AdditionalDeviceData","Assembly","AssetLocation","AssetRoom","BasicSchedulingType","BusinessArea","ControllingArea","ControllingObjectClass","CreatedByUser","Equipment","EquipmentName","FunctionalArea","FunctionalLocation","LastChangeDateTime","LatestAcceptableCompletionDate","LocAcctAssgmtWBSElmntIntID","MainWorkCenter","MainWorkCenterInternalID","MainWorkCenterPlant","MainWorkCenterTypeCode","MaintObjectFreeDefinedAttrib","MaintObjectLocAcctAssgmtNmbr","MaintOrdBasicEndDate","MaintOrdBasicEndDateTime","MaintOrdBasicEndTime","MaintOrdBasicStartDate","MaintOrdBasicStartDateTime","MaintOrdBasicStartTime","MaintOrdPersonResponsible","MaintOrdProcessPhaseCode","MaintOrdProcessSubPhaseCode","MaintOrdSchedldBscEndDateTime","MaintOrdSchedldBscStrtDateTime","MaintOrderReferenceDate","MaintOrderReferenceDateTime","MaintOrderReferenceTime","MaintOrderRoutingNumber","MaintPriority","MaintPriorityType","MaintenanceActivityType","MaintenanceNotification","MaintenanceObjectList","MaintenanceOrder","MaintenanceOrderDesc","MaintenanceOrderInternalID","MaintenanceOrderPlanningCode","MaintenanceOrderType","MaintenancePlannerGroup","MaintenancePlanningPlant","MaintenancePlant","MaintenanceRevision","OperationSystemCondition","OrdIsNotSchedldAutomatically","OrderProcessingGroup","PlantSection","ProfitCenter","ReferenceElement","ResponsibleCostCenter","ScheduledBasicEndDate","ScheduledBasicEndTime","ScheduledBasicStartDate","ScheduledBasicStartTime","SerialNumber","SuperiorProjectNetwork","TechObjIsEquipOrFuncnlLoc","TechnicalObject","TechnicalObjectLabel","WBSElementInternalID","WorkCenter","WorkCenterInternalID","WorkCenterTypeCode"
"","","","","","1","0001","USEA","OC","TBLECK","","","","U-E-D-US-C-00000003",,,"0","EDOHR101","10000325","1001","A","","000000003307","2018-07-04","2018-07-04T04:00:00.000Z","04:00:00","2018-06-26","2018-06-26T04:00:00.000Z","04:00:00","","","","2018-07-03T15:40:00.000Z","2018-06-26T13:00:00.000Z","2018-06-26","2018-06-26T17:05:01.000Z","17:05:01","1000000022","4","PM","225","10000023",1468,"4000021","Vegetation Trimming Circuit 12\","OR000004000021","","M02","001","1001","1001","","","","0","","USEAPROF","","OPS-REG-1","2018-07-03","15:40:00","2018-06-26","13:00:00","","","EAMS_FL","U-E-D-US-C-00000003","U-E-D-US-C-00000003","0","","0",""
"","","","","","1","0001","USEA","OC","TBLECK","","","","E-D-N047.56030,W122.31936",,,"0","EDOHR101","10000325","1001","A","","000000003377","2018-07-03","2018-07-03T04:00:00.000Z","04:00:00","2018-07-02","2018-07-02T04:00:00.000Z","04:00:00","","","","2018-07-02T14:04:00.000Z","2018-07-02T13:00:00.000Z","2018-07-02","2018-07-02T17:07:18.000Z","17:07:18","1000000023","","PM","110","10000024",1469,"4000022","Pole leaning - reset","OR000004000022","1","M01","001","1001","1001","","","","0","","USEAPROF","","OPS-REG-1","2018-07-02","14:04:00","2018-07-02","13:00:00","","","EAMS_FL","E-D-N047.56030,W122.31936","E-D-N047.56030,W122.31936","0","","0","A"
"","","","R2_STW_OH","","2","","USEA","OC","TBLECK","","","","U-E-D-OH-C-00000003","2021-02-03T22:27:18.000Z",,"0","EDOHR101","10000325","1001","A","","000000003385","2018-07-24","2018-07-24T04:00:00.000Z","04:00:00","2018-07-17","2018-07-17T04:00:00.000Z","04:00:00","","","","2018-10-17T17:48:00.000Z","2018-10-01T13:00:00.000Z","2018-07-18","2018-07-18T03:59:59.000Z","03:59:59","1000000041","3","PM","315","10000032",1567,"4000040","Check corridor cable insulation","OR000004000040","1","M03","001","1001","1001","","","","0","","USEAPROF","","OPS-REG-1","2018-10-17","17:48:00","2018-10-01","13:00:00","","","EAMS_FL","U-E-D-OH-C-00000003","U-E-D-OH-C-00000003","0","","0",""
"","","","","","2","","USEA","OC","TBLECK","","","","CESD-C21-UG-07","2021-02-03T22:27:18.000Z",,"0","EDOHR101","10000325","1001","A","","000000003388","2020-03-13","2020-03-13T04:00:00.000Z","04:00:00","2020-03-09","2020-03-09T04:00:00.000Z","04:00:00","3","","","2020-03-23T15:00:00.000Z","2020-03-23T12:00:00.000Z","2020-03-10","2020-03-10T03:59:59.000Z","03:59:59","1000000042","3","PM","","10000033",1568,"4000041","Install new meter 563 W Dakota street","OR000004000041","1","M03","001","1001","1001","20W11","","","0","","USEAPROF","","OPS-REG-1","2020-03-23","15:00:00","2020-03-23","12:00:00","","","EAMS_FL","CESD-C21-UG-07","CESD-C21-UG-07","0","","0",""
"","","","","","2","","USEA","OC","TBLECK","","","","100000000004",,,"0","EDOHR101","10000325","1001","A","","000000003417","2018-08-08","2018-08-08T04:00:00.000Z","04:00:00","2018-08-07","2018-08-07T04:00:00.000Z","04:00:00","","","","2018-08-07T21:00:00.000Z","2018-08-07T21:00:00.000Z","2018-08-08","2018-08-08T13:55:11.000Z","13:55:11","1000000043","","PM","","10000034",1604,"4000042","Install New Meter","OR000004000042","1","M03","001","1001","1001","","","","0","","USEAPROF","","OPS-REG-1","2018-08-07","21:00:00","2018-08-07","21:00:00","","","EAMS_FL","100000000004","100000000004","0","","0",""
"","","","","","1","","USEA","OC","TBLECK","","","","100000000004",,,"0","EDOHR101","10000325","1001","A","","000000003418","2018-08-11","2018-08-11T04:00:00.000Z","04:00:00","2018-08-10","2018-08-10T04:00:00.000Z","04:00:00","","","","2018-08-10T14:04:00.000Z","2018-08-10T13:00:00.000Z","2018-08-09","2018-08-09T14:34:26.000Z","14:34:26","1000000044","3","PM","130","10000035",1614,"4000044","meter test","OR000004000044","1","M01","","1001","1001","","","","0","","USEAPROF","","OPS-REG-1","2018-08-10","14:04:00","2018-08-10","13:00:00","","","EAMS_FL","100000000004","100000000004","0","","0",""
"","","","","","1","","USEA","OC","TBLECK","","","","100000000004",,,"0","EDOHR101","10000325","1001","A","","000000003421","2018-08-17","2018-08-17T04:00:00.000Z","04:00:00","2018-08-16","2018-08-16T04:00:00.000Z","04:00:00","","","","2018-08-16T13:00:00.000Z","2018-08-16T13:00:00.000Z","2018-08-16","2018-08-16T14:10:58.000Z","14:10:58","1000000045","3","PM","100","10000036",1615,"4000045","Install New Meter","OR000004000045","1","M01","001","1001","1001","","","","0","","USEAPROF","","OPS-REG-1","2018-08-16","13:00:00","2018-08-16","13:00:00","","","EAMS_FL","100000000004","100000000004","0","","0",""
"","","","","","2","","USEA","OC","EHUDAK","","","","E-D-N041.16247,W081.44324","2021-02-03T22:27:18.000Z",,"0","EDOHR101","10000325","1001","A","","000000003423","2020-03-13","2020-03-13T04:00:00.000Z","04:00:00","2020-03-09","2020-03-09T04:00:00.000Z","04:00:00","","","","2018-08-27T17:16:00.000Z","2018-08-27T13:00:00.000Z","2020-03-10","2020-03-10T03:59:59.000Z","03:59:59","1000000046","3","PM","100","10000038",1618,"4000047","ClickSchedule Test","OR000004000047","","M01","001","1001","1001","20W11","","X","0","","USEAPROF","","OPS-REG-1","2018-08-27","17:16:00","2018-08-27","13:00:00","","","EAMS_FL","E-D-N041.16247,W081.44324","E-D-N041.16247,W081.44324","0","","0",""
"C","","","R2_STW_OH","","1","","USEA","OC","DBRENNAN","10000228","Fused Cut-out Switch","","U-E-D-OH-F-44224-002","2020-08-28T15:03:54.000Z",,"0","EDPCR101","10000329","1001","A","","000000003428","2018-09-15","2018-09-15T04:00:00.000Z","04:00:00","2018-09-14","2018-09-14T04:00:00.000Z","04:00:00","","","","2018-09-14T18:20:00.000Z","2018-09-14T13:00:00.000Z","2018-09-15","2018-09-15T03:59:59.000Z","03:59:59","1000000047","2","PM","","10000042",1619,"4000048","Re-insulate feeder switch","OR000004000048","2","M01","001","1001","1001","","","","0","003","USEAPROF","","OPS-REG-1","2018-09-14","18:20:00","2018-09-14","13:00:00","","","EAMS_EQUI","000000000010000228","10000228","0","","0",""
"C","","","R2_STW_OH","","1","0001","USEA","OC","DBRENNAN","10000218","25 kVA OH Transformer, Edgewood","","U-E-D-OH-F-44224-001","2021-02-03T22:27:19.000Z",,"0","EDOHR101","10000325","1001","A","","000000003430","2018-09-15","2018-09-15T04:00:00.000Z","04:00:00","2018-09-14","2018-09-14T04:00:00.000Z","04:00:00","","","","2018-09-14T16:12:00.000Z","2018-09-14T13:00:00.000Z","2018-09-15","2018-09-15T03:59:59.000Z","03:59:59","1000000048","2","PM","120","10000043",1620,"4000049","Transformer voltage spikes","OR000004000049","2","M01","001","1001","1001","","","","0","003","USEAPROF","","OPS-REG-1","2018-09-14","16:12:00","2018-09-14","13:00:00","","","EAMS_EQUI","000000000010000218","10000218","0","","0",""
"","","","","","1","0001","USEA","OC","EHUDAK","","","","U-E-D-US-C",,,"0","VEGMGT1","10000348","1001","A","","000000003437","2018-11-29","2018-11-29T05:00:00.000Z","05:00:00","2018-11-27","2018-11-27T05:00:00.000Z","05:00:00","3","","","2018-11-28T18:16:00.000Z","2018-11-27T05:00:00.000Z","2018-11-28","2018-11-28T04:59:59.000Z","04:59:59","1000000049","3","PM","225","10000044",1621,"4000050","VM G'Town 69, Annual","OR000004000050","1","M02","001","1001","1001","","","","0","","USEAPROF","","AM-VEGMGT","2018-11-28","18:16:00","2018-11-27","05:00:00","","","EAMS_FL","U-E-D-US-C","U-E-D-US-C","0","","0",""
"","","","","","2","","USEA","OC","DBRENNAN","","","","",,,"0","ENGSTRA","10000342","1001","A","","000000003439","2018-09-29","2018-09-29T04:00:00.000Z","04:00:00","2018-09-25","2018-09-25T04:00:00.000Z","04:00:00","","","","2018-09-28T21:00:00.000Z","2018-09-28T21:00:00.000Z","2018-09-26","2018-09-26T03:59:59.000Z","03:59:59","1000000050","","PM","","10000045",1622,"4000051","Rounds Inspection","OR000004000051","1","M03","","1001","","","","","0","","USEAPROF","","AM-ENGINEE","2018-09-28","21:00:00","2018-09-28","21:00:00","","","","","","0","","0",""
"","","","","","1","","USEA","OC","JPLUMMER","","","","","2024-02-07T17:56:59.000Z",,"0","EDOHR101","10000325","1001","A","","000000003441","2024-02-27","2024-02-27T05:00:00.000Z","05:00:00","2024-02-26","2024-02-26T05:00:00.000Z","05:00:00","","","","2024-02-26T15:04:00.000Z","2024-02-26T14:00:00.000Z","2024-02-27","2024-02-27T04:59:59.000Z","04:59:59","1000000051","3","SM","100","",0,"4000052","CU Maintenance Order","OR000004000052","1","CUWO","001","1001","1001","24W09","","","0","","USEAPROF","","OPS-REG-1","2024-02-26","15:04:00","2024-02-26","14:00:00","","","","","","0","","0",""
"","","","","","1","","USEA","OC","DTRIVEDI","","","","","2019-06-24T09:01:04.000Z",,"0","EDOHR101","10000325","1001","A","","000000003442","2019-06-01","2019-06-01T04:00:00.000Z","04:00:00","2019-03-25","2019-03-25T04:00:00.000Z","04:00:00","","","","2019-05-31T13:00:00.000Z","2019-03-25T04:00:00.000Z","2019-03-26","2019-03-26T03:59:59.000Z","03:59:59","1000000052","","SM","","",0,"4000053","test","OR000004000053","1","S04","","1001","","","","","0","","USEAPROF","","OPS-REG-1","2019-05-31","13:00:00","2019-03-25","04:00:00","","","","","","0","","0",""
"C","","","R2_STW_OH","","1","","USEA","OC","DBRENNAN","10000224","25 kVA OH Transformer, Oak","","U-E-D-OH-F-44224-007","2020-08-28T15:03:54.000Z",,"0","ENGLINE","10000341","1001","A","","000000003587","2019-03-27","2019-03-27T04:00:00.000Z","04:00:00","2019-03-26","2019-03-26T04:00:00.000Z","04:00:00","","","","2019-03-26T15:08:00.000Z","2019-03-26T04:00:00.000Z","2019-03-27","2019-03-27T03:59:59.000Z","03:59:59","1000000053","","PM","","10000046",1630,"4000054","Transformer Inspection and Repair","OR000004000054","2","M01","001","1001","1001","","","","0","003","USEAPROF","","","2019-03-26","15:08:00","2019-03-26","04:00:00","","","EAMS_EQUI","000000000010000224","10000224","0","","0",""
"","","","","","1","","USEA","OC","DBRENNAN","","","","","2023-10-23T17:14:18.000Z",,"0","SCHEDR1","10000344","1001","A","","000000003589","2018-09-28","2018-09-28T04:00:00.000Z","04:00:00","2018-09-27","2018-09-27T04:00:00.000Z","04:00:00","","","","2018-09-27T13:00:00.000Z","2018-09-27T13:00:00.000Z","2018-09-28","2018-09-28T03:59:59.000Z","03:59:59","1000000054","","SM","","300000003",1631,"4000055","Emergency Pole Replacement","OR000004000055","2","S01","","1001","","","","","0","","USEAPROF","","AM-SCHEDUL","2018-09-27","13:00:00","2018-09-27","13:00:00","","","","","","0","","0",""
"","","","","","1","","USEA","OC","DBRENNAN","","","","","2023-11-30T22:22:41.000Z",,"0","ENGLINE","10000341","1001","A","","000000003598","2023-11-05","2023-11-05T04:00:00.000Z","04:00:00","2023-10-30","2023-10-30T04:00:00.000Z","04:00:00","","","","2023-11-04T16:12:00.000Z","2023-10-30T13:00:00.000Z","2023-10-31","2023-10-31T03:59:59.000Z","03:59:59","1000000055","","SM","","300000004",1632,"4000056","Upgrade Service for customer 100-200amp","OR000004000056","2","S01","","1001","","","","","0","","USEAPROF","","AM-ENGINEE","2023-11-04","16:12:00","2023-10-30","13:00:00","","","","","","0","","0",""
"","","","","","1","","USEA","OC","DBRENNAN","","","","","2020-08-28T14:45:39.000Z",,"0","ENGLINE","10000341","1001","A","","000000003600","2020-08-26","2020-08-26T04:00:00.000Z","04:00:00","2020-08-18","2020-08-18T04:00:00.000Z","04:00:00","6","","","2020-08-25T16:12:00.000Z","2020-08-18T13:00:00.000Z","2020-08-19","2020-08-19T03:59:59.000Z","03:59:59","1000000056","3","PM","120","10000047",1633,"4000057","Upgrade Service for customer 100-200amp","OR000004000057","2","M01","","1001","","20W11","1","","0","","USEAPROF","","AM-ENGINEE","2020-08-25","16:12:00","2020-08-18","13:00:00","","","","","","0","","0",""
"","","","","","1","","USEA","OC","DBRENNAN","","","","POLE00000001","2023-04-20T00:49:07.000Z",,"0","COCCONT","10000322","1001","A","","000000003602","2020-06-24","2020-06-24T04:00:00.000Z","04:00:00","2020-06-02","2020-06-02T04:00:00.000Z","04:00:00","","","","2020-06-23T08:00:00.000Z","2020-06-02T04:00:00.000Z","2023-04-20","2023-04-20T00:49:06.000Z","00:49:06","1000000057","","PM","","10000048",1634,"4000058","Test Work Orders","OR000004000058","2","M01","001","1001","1801","","","","0","","USEAPROF","","","2020-06-23","08:00:00","2020-06-02","04:00:00","","","EAMS_FL","POLE00000001","POLE00000001","0","","0",""
"B","","","","","1","","USEA","OC","MBOWMAN","10000083","Hydrant 12th Ave S & S Shelton St.","","U-W-D-US-M-M0005-006",,,"0","WDMNS002","10000374","1801","A","","000000003612","2018-10-05","2018-10-05T04:00:00.000Z","04:00:00","2018-10-04","2018-10-04T04:00:00.000Z","04:00:00","","","","2018-10-04T16:12:00.000Z","2018-10-04T13:00:00.000Z","2018-10-05","2018-10-05T03:59:59.000Z","03:59:59","1000000061","3","PM","250","10000050",1667,"4000060","Issue with Hydrant- Non Functional","OR000004000060","1","M02","801","1801","1801","","0","","0","","USEAPROF","","OPS-REG-1","2018-10-04","16:12:00","2018-10-04","13:00:00","","","EAMS_EQUI","000000000010000083","10000083","0","","0",""
"B","","","","","1","","USEA","OC","MBOWMAN","10000085","Hydrant Snoqualmie & 13th Ave S","","","2023-06-27T05:48:25.000Z",,"0","WDHYD001","10000371","1801","A","","000000003627","2018-10-06","2018-10-06T04:00:00.000Z","04:00:00","2018-10-05","2018-10-05T04:00:00.000Z","04:00:00","","","","2018-10-05T17:16:00.000Z","2018-10-05T13:00:00.000Z","2018-10-06","2018-10-06T03:59:59.000Z","03:59:59","1000000062","3","PM","","10000056",1668,"4000061","No water pressure to hydrant","OR000004000061","2","M01","801","1801","1801","","","","0","","USEAPROF","","OPS-REG-1","2018-10-05","17:16:00","2018-10-05","13:00:00","","","EAMS_EQUI","000000000010000085","10000085","0","","0",""
"B","","","","","1","","USEA","OC","EHUDAK","10000079","Hydrant Snoqualmie & 12th Ave S","","U-W-D-US-M-M0005-001","2020-03-05T00:28:13.000Z",,"0","WDMNS002","10000374","1801","A","","000000003641","2018-10-05","2018-10-05T04:00:00.000Z","04:00:00","2018-10-04","2018-10-04T04:00:00.000Z","04:00:00","","","","2018-10-04T19:46:12.000Z","2018-10-04T13:00:00.000Z","2018-10-05","2018-10-05T03:59:59.000Z","03:59:59","1000000063","2","PM","100","10000057",1669,"4000062","Hydrant not functioning","OR000004000062","2","M01","801","1801","1801","","","","0","","USEAPROF","","OPS-REG-1","2018-10-04","19:46:12","2018-10-04","13:00:00","","","EAMS_EQUI","000000000010000079","10000079","0","","0","A"
"B","","","","","1","","USEA","OC","EHUDAK","10000079","Hydrant Snoqualmie & 12th Ave S","","U-W-D-US-M-M0005-001",,,"0","WDMNS002","10000374","1801","A","","000000003643","2018-10-05","2018-10-05T04:00:00.000Z","04:00:00","2018-10-04","2018-10-04T04:00:00.000Z","04:00:00","","","","2018-10-04T14:04:00.000Z","2018-10-04T13:00:00.000Z","2018-10-04","2018-10-04T19:59:19.000Z","19:59:19","1000000064","2","PM","100","10000058",1670,"4000063","Hydrant leaking","OR000004000063","2","M01","801","1801","1801","","","","0","","USEAPROF","","OPS-REG-1","2018-10-04","14:04:00","2018-10-04","13:00:00","","","EAMS_EQUI","000000000010000079","10000079","0","","0","A"
"A","","","","","1","","USEA","OC","EHUDAK","","","","U-W-D-US-M-M0005-001",,,"0","WDMNS002","10000374","1801","A","","000000003649","2018-10-11","2018-10-11T04:00:00.000Z","04:00:00","2018-10-09","2018-10-09T04:00:00.000Z","04:00:00","","","","2018-10-10T13:32:00.000Z","2018-10-09T13:00:00.000Z","2018-10-10","2018-10-10T03:59:59.000Z","03:59:59","1000000065","3","PM","210","10000051",1671,"4000064","Suspected line leak","OR000004000064","1","M02","801","1801","1801","","","","0","","USEAPROF","","OPS-REG-1","2018-10-10","13:32:00","2018-10-09","13:00:00","","","EAMS_FL","U-W-D-US-M-M0005-001","U-W-D-US-M-M0005-001","0","","0","A"
"A","","","","","1","","USEA","OC","IP1020181005","","","","U-W-D-US-M-M0005","2023-04-12T08:37:53.000Z",,"0","WDMNS002","10000374","1801","A","","000000003656","2018-10-12","2018-10-12T04:00:00.000Z","04:00:00","2018-10-10","2018-10-10T04:00:00.000Z","04:00:00","","","","2018-10-11T17:48:00.000Z","2018-10-10T13:00:00.000Z","2021-05-13","2021-05-13T00:34:33.000Z","00:34:33","1000000066","4","PM","200","10000059",1672,"4000065","Maplewood Hydrant Flushing Mains 1,3,4,5","OR000004000065","1","M02","801","1801","1801","","","","0","","USEAPROF","","OPS-REG-1","2018-10-11","17:48:00","2018-10-10","13:00:00","","","EAMS_FL","U-W-D-US-M-M0005","U-W-D-US-M-M0005","0","","0",""
"A","","","","","1","","USEA","OC","MBOWMAN","","","","U-W-D-US-M-M0005",,,"0","WDMNS002","10000374","1801","A","","000000003836","2018-10-10","2018-10-10T04:00:00.000Z","04:00:00","2018-10-09","2018-10-09T04:00:00.000Z","04:00:00","","","","2018-10-09T17:16:00.000Z","2018-10-09T13:00:00.000Z","2018-10-10","2018-10-10T03:59:59.000Z","03:59:59","1000000067","2","PM","120","10000060",1673,"4000066","Possible Leak- Maple Wood","OR000004000066","2","M01","801","1801","1801","","","","0","","USEAPROF","","OPS-REG-1","2018-10-09","17:16:00","2018-10-09","13:00:00","","","EAMS_FL","U-W-D-US-M-M0005","U-W-D-US-M-M0005","0","","0",""
"","","","","","1","0001","USEA","OC","DBRENNAN","10000057","0 kVA OH Transformer","","U-E-D-US-F-F0069-006","2023-04-12T08:38:55.000Z",,"0","EDOHR101","10000325","1001","A","","000000003843","2018-10-10","2018-10-10T04:00:00.000Z","04:00:00","2018-10-09","2018-10-09T04:00:00.000Z","04:00:00","3","","","2018-10-09T16:02:30.000Z","2018-10-09T13:00:00.000Z","2023-04-12","2023-04-12T08:38:52.000Z","08:38:52","1000000071","","PM","","10000064",1674,"4000070","Crack reported in equipment","OR000004000070","1","M02","001","1001","1001","","","","0","","USEAPROF","","OPS-REG-1","2018-10-09","16:02:30","2018-10-09","13:00:00","","","EAMS_EQUI","000000000010000057","10000057","0","","0",""
"","","","","","1","0001","USEA","OC","DBRENNAN","10000051","0 kVA OH Transformer","","U-E-D-US-F-F0069-011","2021-02-03T22:27:19.000Z",,"0","EDOHR101","10000325","1001","A","","000000003847","2018-10-10","2018-10-10T04:00:00.000Z","04:00:00","2018-10-09","2018-10-09T04:00:00.000Z","04:00:00","3","","","2018-10-09T16:12:00.000Z","2018-10-09T13:00:00.000Z","2018-10-10","2018-10-10T03:59:59.000Z","03:59:59","1000000073","3","PM","","10000066",1675,"4000072","Transformer casing crack found","OR000004000072","1","M02","001","1001","1001","","","","0","","USEAPROF","","OPS-REG-1","2018-10-09","16:12:00","2018-10-09","13:00:00","","","EAMS_EQUI","000000000010000051","10000051","0","","0",""
"C","","","R2_STW_OH","","1","0001","USEA","OC","EHUDAK","10000220","25 kVA OH Transformer, Elm","","U-E-D-OH-F-44224-002","2021-02-03T22:27:20.000Z",,"0","EDOHR101","10000325","1001","A","","000000003852","2019-03-28","2019-03-28T04:00:00.000Z","04:00:00","2019-03-27","2019-03-27T04:00:00.000Z","04:00:00","","","","2019-03-27T13:00:00.000Z","2019-03-27T04:00:00.000Z","2019-03-28","2019-03-28T03:59:59.000Z","03:59:59","1000000075","","PM","","10000069",1676,"4000074","Transformer smoking","OR000004000074","1","M02","001","1001","1001","","","","0","003","USEAPROF","","OPS-REG-1","2019-03-27","13:00:00","2019-03-27","04:00:00","","","EAMS_EQUI","000000000010000220","10000220","0","","0",""
"","","","","","1","0001","USEA","OC","EHUDAK","10000003","0 kVA OH Transformer","","","2023-04-20T00:49:10.000Z",,"0","EDOHR101","10000325","1001","A","","000000003854","2019-03-26","2019-03-26T04:00:00.000Z","04:00:00","2019-03-25","2019-03-25T04:00:00.000Z","04:00:00","","","","2019-03-25T13:00:00.000Z","2019-03-25T04:00:00.000Z","2023-04-20","2023-04-20T00:49:09.000Z","00:49:09","1000000076","","PM","","10000070",1677,"4000075","Same Transformer - another day","OR000004000075","1","M02","001","1001","1001","","","","0","","USEAPROF","","OPS-REG-1","2019-03-25","13:00:00","2019-03-25","04:00:00","","","EAMS_EQUI","000000000010000003","10000003","0","","0",""
"","","","","","1","0001","USEA","OC","DBRENNAN","10000010","25 kVA OH Transformer","","","2023-04-20T00:49:12.000Z",,"0","EDOHR101","10000325","1001","A","","000000003856","2019-03-26","2019-03-26T04:00:00.000Z","04:00:00","2019-03-25","2019-03-25T04:00:00.000Z","04:00:00","3","","","2019-03-25T16:12:00.000Z","2019-03-25T04:00:00.000Z","2023-04-20","2023-04-20T00:49:11.000Z","00:49:11","1000000077","","PM","","10000071",1678,"4000076","Issue with equipment!","OR000004000076","1","M02","001","1001","1001","","","","0","","USEAPROF","","OPS-REG-1","2019-03-25","16:12:00","2019-03-25","04:00:00","","","EAMS_EQUI","000000000010000010","10000010","0","","0",""
"","","","","","1","0001","USEA","OC","JUEJIO","10000010","25 kVA OH Transformer","","","2023-04-20T00:49:13.000Z",,"0","EDOHR101","10000325","1001","A","","000000003858","2019-03-26","2019-03-26T04:00:00.000Z","04:00:00","2019-03-25","2019-03-25T04:00:00.000Z","04:00:00","","","","2019-03-25T13:00:00.000Z","2019-03-25T04:00:00.000Z","2023-04-20","2023-04-20T00:49:12.000Z","00:49:12","1000000078","","PM","","10000072",1679,"4000077","J test ok","OR000004000077","1","M02","001","1001","1001","","","","0","","USEAPROF","","OPS-REG-1","2019-03-25","13:00:00","2019-03-25","04:00:00","","","EAMS_EQUI","000000000010000010","10000010","0","","0",""
"","","","","","1","0001","USEA","OC","DBRENNAN","10000070","25 kVA OH Transformer","","U-E-D-US-F-F0069-007","2023-04-20T00:49:15.000Z",,"0","EDOHR101","10000325","1001","A","","000000003862","2018-11-29","2018-11-29T05:00:00.000Z","05:00:00","2018-11-28","2018-11-28T05:00:00.000Z","05:00:00","3","","","2018-11-28T14:00:00.000Z","2018-11-28T05:00:00.000Z","2023-04-20","2023-04-20T00:49:13.000Z","00:49:13","1000000080","","PM","","10000074",1680,"4000079","Issue reported at transformer","OR000004000079","1","M02","001","1001","1001","","","","0","","USEAPROF","","OPS-REG-1","2018-11-28","14:00:00","2018-11-28","05:00:00","","","EAMS_EQUI","000000000010000070","10000070","0","","0",""
"B","","","","","1","","USEA","OC","DBRENNAN","10000098","Hydrant Snoqualmie & 13th Ave S-DB","","U-W-D-US-M-M0005-001",,,"0","WDMNS002","10000374","1801","A","","000000003869","2018-10-10","2018-10-10T04:00:00.000Z","04:00:00","2018-10-09","2018-10-09T04:00:00.000Z","04:00:00","3","","","2018-10-09T13:00:00.000Z","2018-10-09T13:00:00.000Z","2018-10-10","2018-10-10T03:59:59.000Z","03:59:59","1000000082","","PM","","10000076",1681,"4000081","Crack in equipment","OR000004000081","1","M02","801","1801","1801","","","","0","","USEAPROF","","OPS-REG-1","2018-10-09","13:00:00","2018-10-09","13:00:00","","","EAMS_EQUI","000000000010000098","10000098","0","","0",""
"B","","","","","1","","USEA","OC","DBRENNAN","10000098","Hydrant Snoqualmie & 13th Ave S-DB","","U-W-D-US-M-M0005-001",,,"0","WDMNS002","10000374","1801","A","","000000003880","2018-10-10","2018-10-10T04:00:00.000Z","04:00:00","2018-10-09","2018-10-09T04:00:00.000Z","04:00:00","3","","","2018-10-09T17:16:00.000Z","2018-10-09T13:00:00.000Z","2018-10-10","2018-10-10T03:59:59.000Z","03:59:59","1000000085","","PM","","10000082",1682,"4000084","Crack found in equipment","OR000004000084","1","M02","801","1801","1801","","","","0","","USEAPROF","","OPS-REG-1","2018-10-09","17:16:00","2018-10-09","13:00:00","","","EAMS_EQUI","000000000010000098","10000098","0","","0",""
"B","","","","","1","","USEA","OC","DBRENNAN","","","","100000000064","2023-04-21T20:22:46.000Z",,"0","WDCSMM01","10000368","1801","A","","000000003886","2018-10-12","2018-10-12T04:00:00.000Z","04:00:00","2018-10-11","2018-10-11T04:00:00.000Z","04:00:00","","","","2018-10-11T15:08:00.000Z","2018-10-11T13:00:00.000Z","2018-10-12","2018-10-12T03:59:59.000Z","03:59:59","1000000088","3","SM","S10","300000010",1683,"4000087","Water Meter Investigation","OR000004000087","2","S01","801","1801","1801","","","","0","","USEAPROF","","OPS-REG-1","2018-10-11","15:08:00","2018-10-11","13:00:00","","","EAMS_FL","100000000064","100000000064","0","","0",""
"B","","","","","1","","USEA","OC","DBRENNAN","10000098","Hydrant Snoqualmie & 13th Ave S-DB","","U-W-D-US-M-M0005-001",,,"0","WDMNS002","10000374","1801","A","","000000003888","2018-10-10","2018-10-10T04:00:00.000Z","04:00:00","2018-10-09","2018-10-09T04:00:00.000Z","04:00:00","3","","","2018-10-09T13:00:00.000Z","2018-10-09T13:00:00.000Z","2018-10-10","2018-10-10T03:59:59.000Z","03:59:59","1000000089","","PM","","10000085",1684,"4000088","Crack","OR000004000088","1","M02","801","1801","1801","","","","0","","USEAPROF","","OPS-REG-1","2018-10-09","13:00:00","2018-10-09","13:00:00","","","EAMS_EQUI","000000000010000098","10000098","0","","0",""
"B","","","","","1","0001","USEA","OC","DBRENNAN","10000098","Hydrant Snoqualmie & 13th Ave S-DB","","U-W-D-US-M-M0005-001","2019-07-15T20:23:15.000Z",,"0","EDOHR101","10000325","1001","A","","000000003890","2018-10-10","2018-10-10T04:00:00.000Z","04:00:00","2018-10-09","2018-10-09T04:00:00.000Z","04:00:00","3","","","2018-10-09T17:16:00.000Z","2018-10-09T13:00:00.000Z","2019-07-15","2019-07-15T20:23:13.000Z","20:23:13","1000000090","","PM","","10000086",1685,"4000089","Cracked equipment casing","OR000004000089","1","M02","801","1801","1801","","","","0","","USEAPROF","","OPS-REG-1","2018-10-09","17:16:00","2018-10-09","13:00:00","","","EAMS_EQUI","000000000010000098","10000098","0","","0",""
